region,district,kindergarten_name,outside_branches,group_count,land_area_built,external_sweeping_area,internal_cleaning_area,garden_area,leased_garden_area,design_capacity,vacant_land_area,educational_building_count,floor_count,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,sports_equipment_available,assembly_hall_condition,kitchen_condition,kitchen_water_supply,electricity_condition,has_generator,has_solar_panels,internal_electrical_condition,lighting_condition,heating_source,heating_fuel_source,boiler_room_condition,internal_heating_condition,water_availability,drinking_water_source,has_fence,internet_type,internet_usage,fire_safety_available,has_cctv,has_public_transport_nearby,accessible_for_disabled,repaired_or_reconstructed,total_students,earthquake_safety,restroom_location,restroom_water_condition,restroom_connected_to_sewage,staff_total,restroom_doors_partitions,restroom_handwash_water_soap,restroom_sewage_issues,restroom_water_issues,restroom_lighting_safe,classrooms_warm_in_winter,indoor_pipeline_installed,children_walk_more_than_3km,meets_modern_infrastructure,satisfied_with_condition,age_score,total_population,utilization_ratio,population_score,infrastructure_score,resources_score,latitude,longitude,need_category,predicted_need_Category
Samarkand,Samarkand city,kindergarten_178,0.0,0.4,0.5,0.6,0.8,0.6,0.0,50,0.3,0.3,0.3,0.8,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.6,150,1.0,0.4,0.5,0.5,4,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.8,154,3.08,0.0,0.46,0.64,39.65417,66.95972,RED,RED
Samarkand,Kattakurgan city,kindergarten_183,0.0,0.6,0.3,0.6,1.0,0.8,0.0,150,0.3,0.3,0.6,0.8,1.0,0.8,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6,300,1.0,0.8,1.0,0.5,4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,304,2.026666666666667,0.0,0.66,0.79,39.89889,66.25611,RED,RED
Samarkand,Jomboy district,kindergarten_185,0.0,0.2,0.5,0.8,0.6,0.6,0.0,100,0.3,0.3,0.3,0.8,0.5,0.8,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.7,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,80,1.0,0.4,0.0,0.0,6,1.0,0.0,0.2,0.2,1.0,1.0,0.0,1.0,0.5,0.3,0.8,86,0.86,1.0,0.55,0.57,39.69889,67.09333,RED,RED
Samarkand,Kattakurgan district,kindergarten_186,0.0,1.0,1.0,0.3,0.3,0.3,0.0,125,0.3,0.3,0.6,0.8,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.7,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.4,0.0,0.0,0.8,72,0.5,0.8,0.3,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.3,0.8,74,0.592,0.04,0.53,0.47,39.89716,66.27242,RED,RED
Samarkand,Nurabad district,kindergarten_186,0.0,0.2,0.3,0.3,0.3,0.3,0.0,100,0.7,0.6,0.3,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.7,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,1.0,0.4,0.5,0.5,4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.2,104,1.04,0.16,0.6,0.78,39.6100912,66.29622,YELLOW,RED
Samarkand,Narpay district,kindergarten_187,0.0,0.8,1.0,0.3,0.3,0.3,0.3,275,0.7,0.3,0.3,0.8,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.2,1.0,0.7,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,275,0.5,0.8,1.0,1.0,8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.3,0.2,283,1.029090909090909,0.2,0.41,0.66,39.9223,65.925,RED,RED
Samarkand,Payarik district,kindergarten_189,0.0,0.6,0.5,1.0,1.0,1.0,0.0,280,0.3,0.6,0.6,1.0,0.5,0.8,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,276,0.5,1.0,1.0,1.0,12,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,0.5,0.3,0.2,288,1.0285714285714285,0.2,0.47,0.76,39.98917,66.84583,RED,RED
Samarkand,Oqdaryo district,kindergarten_190,0.0,0.6,1.0,0.3,0.3,0.3,0.0,150,0.3,1.0,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.8,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.6,224,1.0,0.4,1.0,0.0,10,0.5,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.8,234,1.56,0.0,0.71,0.65,39.9092,67.0916,RED,RED
Samarkand,Qushrabat district,kindergarten_191,0.0,0.6,0.5,1.0,1.0,0.6,0.0,360,0.3,0.6,0.6,1.0,0.5,0.8,0.5,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.4,0.8,0.0,0.0,331,1.0,1.0,1.0,1.0,26,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.5,0.3,0.2,357,0.9916666666666667,0.37,0.46,0.78,40.3333,66.5,RED,RED
Samarkand,Samarkand district,kindergarten_194,0.0,0.2,0.3,0.3,0.3,0.3,0.0,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.8,120,1.0,0.8,1.0,0.5,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,1.0,1.0,1.0,123,1.025,0.22,0.66,0.78,39.65417,66.95972,YELLOW,YELLOW
